x,y,z,t
-70.79268,85.07927,-56.09146,44.89561
-40.98781,-75.84146,-87.60976,44.99955
-34.33537,-166.90244,-71.03049,45.10352
-15.17073,-151.50610,-52.98780,45.20744
-29.29268,-82.99390,-31.18293,45.31136
-42.26829,-46.28049,-27.18293,45.41527
-83.58537,62.56098,10.76220,45.51924
-81.73781,17.85366,11.78049,45.62326
-55.18902,-39.57317,7.81098,45.72724
-42.17073,-98.95122,22.04269,45.83115
15.64634,-41.45732,22.02439,45.93511
20.92683,-42.45122,10.96342,46.03897
3.58537,40.60366,12.40854,46.14291
14.09146,70.32317,14.48781,46.24686
40.51219,57.65854,5.37195,46.35081
17.14024,-8.25610,-0.01829,46.45475
4.03049,7.30488,1.16463,46.55868
5.46341,3.45122,-0.32927,46.66272
2.96341,4.54878,-0.12805,46.76670
-1.54269,2.60366,2.91463,46.87067
9.66463,-1.20732,5.22561,46.97473
24.41463,12.48781,6.39024,47.07868
17.15854,37.57317,1.48780,47.18264
3.25610,58.01829,-13.51220,47.28655
-28.13415,54.53049,-40.90244,47.39050
-87.92683,11.73781,-58.06097,47.49446
-76.95732,-53.32927,-85.90244,47.59842
-51.70122,-119.40853,-72.98170,47.70236
-1.15244,-168.56707,-54.31097,47.80628
33.86585,-171.62195,-0.14024,47.91019
108.78049,-124.27439,29.99390,48.01411
112.26220,-34.20732,57.59756,48.11799
98.62805,32.15854,54.00000,48.22190
81.93903,139.73171,30.23780,48.32587
51.89634,177.97561,-24.49390,48.42981
-15.41463,190.66463,-59.44512,48.53369
-66.53049,137.40854,-91.94512,48.63769
-85.39634,60.98171,-104.12805,48.74201
-64.26220,-107.81098,-90.12805,48.84606
-13.62805,-166.21342,-62.38415,48.95039
58.54878,-186.80488,-35.33536,49.05437
98.37805,-176.35976,28.22561,49.15835
135.48171,-102.40854,57.51829,49.26232
125.96341,50.68293,49.51220,49.36630
104.42683,129.64024,10.92073,49.47024
59.60366,158.70732,-29.60366,49.57456
35.75000,157.13415,-102.57927,49.67860
-2.64634,116.62195,-162.34756,49.78255
-30.89024,0.45732,-176.87195,49.88651
1.97561,-118.00610,-173.90244,49.99049
58.94512,-161.17683,-155.10366,50.09443
83.79268,-108.66463,-93.76829,50.19841
106.43293,-50.86585,-47.55488,50.30235
104.81707,24.17073,-16.53049,50.40626
141.28049,-12.59146,-19.96951,50.51027
66.59146,64.44512,-9.30488,50.61440
97.84756,-73.25610,-67.62805,50.71832
71.56098,-52.01219,-92.88415,50.82221
94.84146,-227.88415,-119.12195,50.92611
-2.09146,-17.31098,-95.53049,51.02998
26.68902,-161.04878,-96.03049,51.13392
-27.68902,-7.14634,-57.60975,51.23787
-92.77439,16.62805,1.32317,51.34180
-48.27439,84.08537,-33.81098,51.44580
-116.46341,110.73781,24.31097,51.54972
-46.34756,66.45122,-9.89634,51.65366
-63.73171,56.24390,0.71951,51.75755
21.71951,-55.26829,-44.11586,51.86150
-49.17683,32.52439,14.43902,51.96544
48.30488,-104.10976,-31.90244,52.06947
-20.65244,27.00610,7.46951,52.17334
0.65244,-19.24390,-2.26829,52.27733
2.31707,16.77439,4.78659,52.38119
3.60366,11.96341,4.58537,52.48509
-0.43293,13.05488,5.96342,52.58901
1.40854,16.75000,5.53659,52.69293
2.18293,8.70732,3.59756,52.79685
-1.50000,-0.98781,0.08537,52.90076
-2.34146,2.22561,0.76829,53.00468
-0.00610,2.59146,0.29268,53.10854
-0.66463,1.66463,-0.11585,53.21253
-1.42073,2.09756,0.30488,53.31647
-0.73171,1.81098,0.04268,53.42038
-0.63415,1.92073,-0.11585,53.52429
-0.82927,1.61585,-0.14024,53.62821
-0.89634,1.32317,-0.29268,53.73210
-1.03049,1.35366,-0.23781,53.83601
-1.10976,1.20122,-0.21951,53.93990
-1.46951,1.14634,-0.05488,54.04378
-3.24390,11.11585,-3.29268,54.14767
13.10976,3.70732,-11.39634,54.25163
13.10976,-2.35366,12.59756,54.35552
-51.21342,60.46951,55.06098,54.45940
-7.82927,-10.10366,42.38415,54.56332
-91.23780,98.09756,135.32927,54.66726
-71.51829,130.03659,110.67073,54.77117
-107.60366,154.84146,124.32927,54.87516
-42.98171,170.51829,82.76220,54.97916
-170.64634,228.67683,134.66464,55.08320
-76.14634,207.12805,23.79878,55.18733
-211.43902,143.58537,59.40854,55.29127
-143.02439,241.09756,-46.01829,55.39518
-212.65244,68.81707,-51.11585,55.49909
-118.27439,208.12195,-148.85366,55.60298
-183.51219,48.39634,-90.30488,55.70692
-81.23780,202.46951,-121.29878,55.81088
-103.92073,50.60976,-66.76219,55.91484
-48.63415,162.58537,-24.13415,56.01883
49.75610,-2.12195,12.73171,56.12278
-63.17683,45.49390,36.73781,56.22675
70.20732,-54.62805,-21.79878,56.33067
-21.10366,-120.39024,4.45732,56.43464
-13.40244,-52.03658,-98.64024,56.53858
-71.92683,-86.14024,-98.57927,56.64249
43.66463,-85.92073,-199.15244,56.74646
-89.86585,-91.92683,-86.93293,56.85034
91.98780,11.42683,-148.94512,56.95427
-3.35366,-122.77439,-89.63415,57.05819
-3.75610,-98.71341,-58.98171,57.16210
108.74390,-71.71341,-62.89025,57.26600
-41.90244,-19.17073,-13.86586,57.36993
-27.06708,-95.77439,7.03658,57.47387
71.68292,-59.45122,-22.83537,57.57778
-77.41464,49.23781,45.02439,57.68167
-90.47561,58.24390,79.52439,57.78556
46.86585,12.80488,8.04878,57.88946
-77.35366,78.87805,37.42073,57.99349
-72.42073,92.50000,69.71341,58.09750
32.00610,34.55488,-6.64025,58.20149
-13.73171,17.31098,0.16463,58.30551
-4.38415,-0.09756,-2.96951,58.40946
4.59146,8.42073,-4.36586,58.51341
2.83537,6.58537,-1.40244,58.61748
-2.28049,3.50610,-1.93293,58.72140
-3.34146,0.07317,-0.90854,58.82536
-0.72561,-0.95122,-1.54269,58.92927
-1.32927,0.10366,-1.44512,59.03323
-2.43903,-1.91463,-1.19512,59.13713
-0.77439,1.04878,0.04268,59.24104
0.09756,0.40854,1.01829,59.34495
