x,y,z,t
-2.07317,0.67073,0.09146,39.81523
-2.10366,0.64024,0.12195,39.91915
-2.10366,0.76220,-0.03049,40.02303
-2.07317,0.76220,0.00000,40.12687
-2.04268,0.76220,0.09146,40.23075
-2.10366,0.85366,0.03049,40.33460
-2.13415,0.73171,0.09146,40.43845
-2.10366,0.73171,-0.06098,40.54235
-2.10366,0.70122,0.00000,40.64628
-2.07317,0.76220,-0.03049,40.75027
-2.07317,0.76220,0.03049,40.85439
-2.04268,0.70122,0.06098,40.95833
-2.07317,0.67073,-0.06098,41.06224
-2.13415,0.67073,0.09146,41.16612
-2.07317,0.64024,0.00000,41.27001
-2.10366,0.73171,0.06098,41.37390
-2.13415,0.70122,0.12195,41.47778
-2.01220,0.79268,0.12195,41.58168
-2.10366,0.70122,0.18293,41.68557
-2.07317,0.60976,0.00000,41.78943
-2.13415,0.76220,0.03049,41.89338
-2.10366,0.73171,0.00000,41.99732
-2.07317,0.64024,-0.03049,42.10120
-2.13415,0.64024,0.09146,42.20509
-2.07317,0.76220,0.09146,42.30897
-2.07317,0.76220,0.03049,42.41286
-2.13415,0.67073,-0.06098,42.51678
-1.98171,0.76220,-7.80488,42.62071
-2.01220,0.70122,0.12195,42.72465
-2.07317,0.79268,0.03049,42.82861
-2.04268,0.70122,7.77439,42.93261
-2.07317,0.64024,0.12195,43.03654
-2.01220,0.73171,0.06098,43.14048
-2.10366,0.70122,0.06098,43.24441
-2.01220,0.64024,0.12195,43.35173
-2.04268,0.79268,0.03049,43.45561
-2.04268,0.70122,0.03049,43.55949
-2.10366,0.76220,0.03049,43.66345
-2.10366,0.73171,-0.03049,43.76744
-2.07317,0.64024,0.06098,43.87142
-2.13415,0.70122,0.12195,43.97540
-2.04268,0.73171,0.15244,44.07934
-2.10366,0.67073,0.06098,44.18325
-2.10366,0.70122,0.09146,44.28718
-2.10366,0.79268,0.03049,44.39108
-2.10366,0.76220,0.06098,44.49498
-2.10366,0.64024,0.18293,44.59889
-2.07317,0.76220,0.12195,44.70278
-2.04268,0.82317,0.09146,44.80671
-2.10366,0.79268,-0.03049,44.91060
-2.13415,0.70122,0.03049,45.01449
-2.07317,0.70122,0.06098,45.11837
-2.01220,0.73171,0.09146,45.22226
-2.04268,0.70122,0.00000,45.32615
-2.19512,0.73171,0.03049,45.43004
-2.04268,0.70122,0.03049,45.53391
-2.07317,0.70122,0.03049,45.63783
-2.13415,0.79268,0.09146,45.74178
-2.04268,0.67073,0.06098,45.84576
-2.10366,0.73171,0.00000,45.94965
-2.13415,0.70122,-0.03049,46.05354
-2.22561,0.70122,0.09146,46.15743
-2.16463,0.67073,0.15244,46.26133
-2.13415,0.51829,0.09146,46.36522
-2.16463,0.76220,7.77439,46.47174
-2.16463,0.67073,0.00000,46.57560
-2.10366,0.57927,0.03049,46.67951
-1.98171,0.70122,0.06098,46.78338
-2.07317,0.67073,0.03049,46.88733
-2.07317,0.70122,-0.06098,46.99129
-2.13415,0.79268,-7.80488,47.09528
-2.10366,0.79268,0.12195,47.19937
-2.16463,0.79268,0.06098,47.30325
-2.10366,0.70122,0.09146,47.40714
-2.13415,0.73171,0.00000,47.51102
-2.07317,0.79268,0.03049,47.61491
-2.07317,0.67073,0.03049,47.71884
-2.10366,0.82317,0.12195,47.82278
-2.13415,0.70122,0.00000,47.92671
-2.07317,0.70122,0.00000,48.03060
-2.13415,0.73171,0.06098,48.13448
-2.13415,0.70122,0.06098,48.23837
-2.10366,0.70122,0.03049,48.34226
-2.13415,0.76220,0.09146,48.44616
-2.04268,0.70122,0.03049,48.55004
-2.07317,0.79268,0.03049,48.65394
-2.07317,0.70122,0.06098,48.75850
-2.04268,0.70122,0.12195,48.86259
-2.10366,0.73171,0.15244,48.96650
-2.07317,0.70122,0.06098,49.07040
-2.07317,0.64024,0.00000,49.17430
-2.13415,0.57927,0.18293,49.27826
-2.13415,0.79268,0.06098,49.38222
-2.13415,0.54878,0.15244,49.48613
-2.10366,0.60976,0.15244,49.59005
-2.13415,0.73171,0.06098,49.69398
-2.10366,0.73171,0.12195,49.79789
-2.07317,0.79268,0.00000,49.90182
-2.04268,0.64024,0.12195,50.00577
-2.13415,0.73171,0.12195,50.10979
-2.07317,0.73171,0.12195,50.21378
-2.10366,0.70122,0.06098,50.31788
-2.07317,0.76220,0.09146,50.42186
-2.07317,0.67073,0.03049,50.52585
-2.01220,0.73171,0.06098,50.63225
-2.19512,0.76220,0.12195,50.74023
-2.04268,0.79268,0.18293,50.84824
-2.10366,0.67073,0.09146,50.95221
-2.16463,0.70122,0.06098,51.05976
-2.13415,0.73171,0.03049,51.16774
-2.07317,0.67073,-7.77439,51.27222
-2.13415,0.70122,-0.06098,51.37620
-2.13415,0.79268,0.03049,51.48014
-2.13415,0.60976,0.18293,51.58402
-2.07317,0.67073,0.21341,51.68794
-2.07317,0.76220,0.00000,51.79183
-2.04268,0.67073,0.00000,51.89573
-2.07317,0.79268,0.09146,51.99964
-2.01220,0.73171,0.06098,52.10354
-2.10366,0.76220,0.18293,52.20743
-2.07317,0.73171,0.06098,52.31132
-2.04268,0.60976,0.03049,52.41521
-2.07317,0.76220,0.12195,52.51918
-2.01220,0.73171,0.12195,52.62320
-2.07317,0.76220,0.06098,52.72720
-2.04268,0.67073,0.09146,52.83119
-2.04268,0.64024,0.09146,52.93523
-2.07317,0.76220,0.09146,53.03918
-2.01220,0.73171,-0.03049,53.14308
-2.10366,0.73171,0.00000,53.24698
-2.07317,0.73171,-0.09146,53.35086
-2.07317,0.73171,0.18293,53.45478
-1.98171,0.70122,0.18293,53.55868
-2.13415,0.57927,0.09146,53.66259
-2.07317,0.73171,0.06098,53.76650
-2.07317,0.67073,0.09146,53.87041
-2.10366,0.70122,0.03049,53.97428
-2.10366,0.70122,0.03049,54.07822
-2.04268,0.64024,0.03049,54.18210
-2.10366,0.67073,0.12195,54.28604
-2.07317,0.70122,0.18293,54.38992
-2.10366,0.76220,0.06098,54.49388
-2.16463,0.73171,0.00000,54.59777
-2.07317,0.64024,0.09146,54.70166
-2.07317,0.76220,0.06098,54.80558
-2.10366,0.70122,0.09146,54.90940
-2.07317,0.76220,0.06098,55.01330
-2.10366,0.70122,0.06098,55.11719
-2.10366,0.76220,-7.80488,55.22108
-2.13415,0.79268,0.03049,55.32498
-2.10366,0.70122,0.15244,55.42885
-2.07317,0.82317,0.03049,55.53273
-2.07317,0.76220,-0.06098,55.63666
-2.16463,0.70122,0.00000,55.74062
-2.13415,0.73171,0.15244,55.84460
-2.13415,0.60976,0.15244,55.94862
-2.10366,0.70122,0.18293,56.05265
-2.13415,0.67073,0.12195,56.15659
-2.07317,0.67073,0.06098,56.26054
-2.13415,0.82317,0.15244,56.36452
-2.04268,0.64024,0.12195,56.46843
-2.13415,0.64024,0.00000,56.57239
-2.07317,0.64024,0.03049,56.67624
-2.10366,0.70122,0.03049,56.78019
-2.10366,0.70122,-7.80488,56.88411
-2.07317,0.73171,-0.03049,56.98800
-2.07317,0.73171,0.12195,57.09190
-2.07317,0.76220,0.09146,57.19577
-2.04268,0.70122,0.00000,57.29971
-2.07317,0.79268,0.03049,57.40367
-2.10366,0.73171,-0.03049,57.50762
-2.04268,0.73171,-0.06098,57.61151
-2.04268,0.73171,0.15244,57.71544
-2.10366,0.76220,0.03049,57.81938
-2.04268,0.82317,0.03049,57.92326
-2.10366,0.60976,0.06098,58.02717
-2.10366,0.67073,0.06098,58.13106
-2.07317,0.79268,0.06098,58.23504
-2.13415,0.73171,0.03049,58.33899
-2.07317,0.67073,-0.09146,58.44290
-2.13415,0.67073,-0.09146,58.54681
-2.10366,0.91463,0.03049,58.65070
-2.25610,1.28049,0.03049,58.75643
-2.13415,0.67073,0.09146,58.86073
-1.95122,0.24390,-0.12195,58.96471
-1.70732,0.24390,-0.67073,59.06886
-1.98171,0.24390,0.12195,59.17286
-1.58537,-1.89024,-1.37195,59.27684
