x,y,z,t
-2.10366,0.71341,-1.48171,51.27222
-2.12195,0.69512,-1.53049,51.37620
-2.12805,0.71951,-1.54268,51.48014
-2.12195,0.70122,-1.51829,51.58402
-2.10976,0.68902,-1.48171,51.68794
-2.10976,0.70732,0.07317,51.79183
-2.09146,0.70122,0.08537,51.89573
-2.07927,0.70122,0.09756,51.99964
-2.05488,0.72561,0.07317,52.10354
-2.06098,0.74390,0.06707,52.20743
-2.06098,0.73781,0.07927,52.31132
-2.06098,0.72561,0.08537,52.41521
-2.06098,0.71952,0.09147,52.51918
-2.06098,0.71952,0.10366,52.62320
-2.05488,0.71952,0.07927,52.72720
-2.04878,0.70732,0.08537,52.83119
-2.04878,0.71342,0.09756,52.93523
-2.04878,0.71342,0.09146,53.03918
-2.04878,0.71342,0.06097,53.14308
-2.05488,0.70732,0.04878,53.24698
-2.06098,0.71951,0.01219,53.35086
-2.06707,0.73781,0.03049,53.45478
-2.04878,0.72561,0.04878,53.55868
-2.07317,0.69512,0.07317,53.66259
-2.06707,0.69512,0.08537,53.76650
-2.06707,0.68293,0.12195,53.87041
-2.07317,0.67683,0.09146,53.97428
-2.09756,0.67683,0.06098,54.07822
-2.07927,0.68902,0.04878,54.18210
-2.08537,0.67683,0.06098,54.28604
-2.08537,0.68293,0.07927,54.38992
-2.08537,0.69512,0.08537,54.49388
-2.09756,0.70122,0.07927,54.59777
-2.10366,0.70122,0.09146,54.70166
-2.09756,0.71951,0.07927,54.80558
-2.10366,0.71951,0.06098,54.90940
-2.09756,0.71951,0.06098,55.01330
-2.08537,0.71342,0.07317,55.11719
-2.09146,0.73781,-1.50610,55.22108
-2.10366,0.74390,-1.51219,55.32498
-2.10366,0.74390,-1.50000,55.42885
-2.10366,0.75610,-1.50610,55.53273
-2.09756,0.76829,-1.53049,55.63666
-2.10976,0.75610,0.03049,55.74062
-2.10976,0.74390,0.05488,55.84460
-2.11585,0.72561,0.05488,55.94862
-2.12195,0.70122,0.08537,56.05265
-2.13415,0.68293,0.12195,56.15659
-2.11586,0.67683,0.13415,56.26054
-2.11586,0.69512,0.13415,56.36452
-2.09756,0.70122,0.12805,56.46843
-2.10366,0.68902,0.09146,56.57239
-2.09146,0.68292,0.07317,56.67624
-2.09756,0.68902,0.06707,56.78019
-2.09146,0.66463,-1.52439,56.88411
-2.09756,0.68293,-1.55488,56.98800
-2.08537,0.70122,-1.53049,57.09190
-2.08537,0.72561,-1.51829,57.19577
-2.07317,0.72561,-1.52439,57.29971
-2.06707,0.74390,0.04268,57.40367
-2.07317,0.74390,0.04268,57.50762
-2.06707,0.74390,0.00610,57.61151
-2.06097,0.73781,0.01829,57.71544
-2.07317,0.75000,0.02439,57.81938
-2.06707,0.75610,0.02439,57.92326
-2.06707,0.73171,0.04268,58.02717
-2.07927,0.71951,0.06708,58.13106
-2.08537,0.73171,0.04878,58.23504
-2.09146,0.72561,0.04878,58.33899
-2.09756,0.69512,0.02439,58.44290
-2.10366,0.70732,-0.00609,58.54681
-2.10366,0.75610,-0.01219,58.65070
-2.14025,0.85366,-0.01829,58.75643
-2.14025,0.84146,-0.00610,58.86073
-2.11586,0.75610,-0.01219,58.96471
-2.03049,0.67073,-0.12805,59.06886
-2.00610,0.53658,-0.10976,59.17286
-1.87195,-0.09756,-0.39024,59.27684
